work_year,salary,remote_ratio
2024,276000,0
2024,174000,0
2024,113800,100
2024,74400,100
2024,333500,0
2024,183000,0
2024,260000,0
2024,192000,0
2024,158000,0
2024,105000,0
2024,148000,0
2024,110000,0
2024,128000,0
2024,81500,0
2024,115000,0
2024,75300,0
2024,140000,100
2024,100000,100
2024,240000,0
2024,140000,0
2024,222200,0
2024,136000,0
2024,187200,0
2024,100800,0
2024,153200,100
2024,102200,100
2024,240000,0
2024,160000,0
2024,105000,0
2024,77000,0
2024,207300,0
2024,119000,0
2024,160000,100
2024,130000,100
2024,155000,0
2024,125000,0
2024,265000,0
2024,203800,0
2024,135000,0
2024,105000,0
2024,345400,0
2024,272700,0
2024,198000,0
2024,160000,0
2024,198000,0
2024,180000,0
2024,100000,0
2024,80000,0
2024,250000,0
2024,200000,0
2024,155000,0
2024,139500,0
2024,160000,0
2024,110000,0
2024,247600,0
2024,127300,0
2024,191500,0
2024,111500,0
2024,204800,0
2024,115800,0
2024,116000,0
2024,90000,0
2024,206000,100
2024,140250,100
2024,225000,0
2024,190000,100
2024,175000,100
2024,84105,0
2024,76095,0
2024,250000,0
2024,140000,0
2024,140000,100
2024,100000,100
2024,250800,0
2024,167200,0
2024,165000,100
2024,140250,100
2024,110000,100
2024,90000,100
2024,300000,0
2024,200000,0
2024,155000,0
2024,104603,0
2024,279000,100
2024,183000,100
2024,252000,0
2024,168000,0
2024,96600,0
2024,55200,0
2024,73756,0
2024,61463,0
2024,130000,0
2024,100000,0
2024,167500,0
2024,106500,0
2024,126000,0
2024,78000,0
2024,800000,100
2023,44382,50
2024,40100,0
2024,28069,0
2024,220000,0
2024,137500,0
2024,127660,0
2024,68740,0
2024,137930,0
2024,74270,0
2024,180500,0
2024,96200,0
2024,266875,0
2024,128250,0
2024,230000,0
2024,176900,0
2024,212000,0
2024,93300,0
2024,200000,0
2024,140000,0
2024,80080,0
2024,65400,0
2024,210000,0
2024,178500,0
2024,165000,0
2024,115500,0
2024,242000,0
2024,106200,0
2024,148000,0
2024,100000,0
2024,160000,100
2024,145000,100
2024,180000,0
2024,140000,0
2024,96600,0
2024,55200,0
2024,85500,100
2024,51000,100
2024,185490,0
2024,134530,0
2024,337300,0
2024,192700,0
2024,205000,0
2024,175000,0
2024,185900,0
2024,109400,0
2024,200000,0
2024,140000,0
2024,277000,0
2024,173000,0
2024,210000,100
2024,180000,100
2024,70000,0
2024,53000,0
2024,200000,100
2024,150000,100
2024,193000,100
2024,156000,100
2024,92000,0
2024,90000,0
2024,197000,0
2024,115000,0
2024,86026,100
2024,71688,100
2024,86146,100
2024,71789,100
2024,170000,0
2024,130000,0
2024,297000,0
2024,138000,0
2024,212800,0
2024,124100,0
2024,160000,100
2024,150000,100
2024,55720,100
2024,50700,100
2024,140000,0
2024,136000,0
2024,195000,100
2024,147500,100
2024,195000,100
2024,147500,100
2024,300000,0
2024,150000,0
2024,154000,0
2024,103000,0
2024,300000,0
2024,150000,0
2024,234000,100
2024,208000,100
2024,206000,100
2024,175100,100
2024,324000,0
2024,159000,0
2024,150895,0
2024,120715,0
2024,300000,100
2024,150000,100
2024,283800,0
2024,234700,0
2024,86000,0
2024,53000,0
2024,187158,0
2024,116974,0
2024,225000,0
2024,180000,0
2024,179000,0
2024,112000,0
2024,195700,0
2024,97700,0
2024,100000,0
2024,85000,0
2024,119000,0
2024,52100,0
2024,136000,0
2024,91536,0
2024,199700,0
2024,165100,0
2024,251250,0
2024,120750,0
2024,240000,100
2024,220000,100
2024,160000,100
2024,150000,100
2024,300000,100
2024,220000,100
2024,130000,0
2024,100000,0
2024,170000,100
2024,150000,100
2024,150000,0
2024,120000,0
2024,247300,0
2024,139800,0
2024,220000,100
2024,210000,100
2024,116000,100
2024,79000,100
2024,130000,0
2024,117000,0
2024,172200,0
2024,131200,0
2024,210000,0
2024,151800,0
2024,133000,0
2024,58300,0
2024,359400,100
2024,239600,100
2024,80000,0
2024,70000,0
2024,324100,0
2024,166700,0
2024,100000,0
2024,80000,0
2024,85000,0
2024,75000,0
2024,243800,100
2024,144200,100
2024,220000,0
2024,200000,0
2024,289000,100
2024,77826,100
2024,59300,100
2024,166000,0
2024,73100,0
2024,151500,0
2024,101000,0
2024,182000,0
2024,164000,0
2024,132100,100
2024,96700,100
2024,98500,100
2024,71500,100
2024,200800,0
2024,107800,0
2024,106100,0
2024,74300,0
2024,153900,0
2024,112715,0
2024,105000,0
2024,94200,0
2024,171000,100
2024,136000,100
2024,221000,0
2024,185000,0
2024,92700,100
2024,64900,100
2024,126600,0
2024,80800,0
2024,164845,0
2024,119887,0
2024,93000,0
2024,87000,0
2024,103500,0
2024,65600,0
2024,165600,0
2024,65800,0
2024,164000,100
2024,152000,100
2024,250000,100
2024,180000,100
2024,202000,0
2024,137000,0
2024,204600,0
2024,84500,0
2024,190000,0
2024,151500,0
2024,65000,0
2024,55000,0
2024,168800,0
2024,93800,0
2024,132567,0
2024,96412,0
2024,309000,0
2024,142000,0
2024,333500,0
2024,156000,0
2024,266875,0
2024,128250,0
2024,191311,100
2024,166358,100
2024,218500,100
2024,190000,100
2024,70000,0
2024,60000,0
2024,324000,0
2024,159000,0
2024,179000,0
2024,152000,0
2024,235680,0
2024,153040,0
2024,140000,0
2024,100000,0
2024,187000,0
2024,153000,0
2024,185000,0
2024,81000,0
2024,290000,0
2024,203000,0
2024,142352,0
2024,95325,0
2024,187000,0
2024,153000,0
2024,190000,0
2024,158500,0
2024,240000,0
2024,180000,0
2024,80000,0
2024,96000,100
2024,96000,100
2024,130500,0
2024,96000,0
2024,166000,0
2024,73100,0
2024,50000,0
2024,40000,0
2024,234000,0
2024,146000,0
2024,100000,0
2024,100000,0
2024,58800,0
2024,42000,0
2024,105000,100
2024,95000,100
2024,60500,0
2024,40300,0
2024,160000,0
2024,95000,0
2024,152500,0
2024,138200,0
2024,164300,0
2024,104000,0
2024,163700,0
2024,109100,0
2024,130000,0
2024,100000,0
2024,220000,0
2024,200000,0
2024,115000,100
2024,95000,100
2024,230000,0
2024,170000,0
2024,250000,100
2024,180700,100
2024,136675,100
2024,111648,100
2024,65000,0
2024,65000,0
2024,254000,0
2024,200000,0
2024,161000,0
2024,133200,0
2024,85000,0
2024,85000,0
2024,160000,0
2024,140000,0
2024,223100,100
2024,126400,100
2024,190000,100
2024,136000,100
2024,134400,0
2024,100000,0
2024,246000,100
2024,170000,100
2024,198000,100
2024,115000,100
2024,150000,100
2024,103000,100
2024,170000,0
2024,160000,0
2024,175000,0
2024,117000,0
2024,85000,0
2024,79000,0
2024,100000,100
2024,75000,100
2024,205000,0
2024,190000,0
2024,331640,0
2024,283780,0
2024,222200,0
2024,136000,0
2024,117000,0
2024,99000,0
2024,72000,0
2024,77000,0
2024,49900,0
2024,95000,0
2024,70000,0
2024,203500,100
2024,133000,100
2024,104000,0
2024,80000,0
2024,134400,0
2024,100000,0
2024,26800,0
2024,26800,0
2024,65000,100
2024,45000,100
2024,64500,0
2024,51500,0
2024,240200,100
2024,102900,100
2024,195600,100
2024,165500,100
2024,180400,0
2024,138800,0
2024,180000,0
2024,139000,0
2024,112000,0
2024,109000,0
2024,147670,0
2024,118136,0
2024,164000,0
2024,117000,0
2024,42000,0
2024,21600,0
2024,154000,0
2024,81536,0
2024,180000,0
2024,139000,0
2024,23000,0
2024,23000,0
2024,198000,100
2024,143000,100
2024,340000,0
2024,212000,0
2024,230000,0
2024,170000,0
2024,51000,0
2024,70000,50
2024,27000,0
2024,114000,50
2024,105000,50
2024,108500,100
2024,78800,100
2024,385000,0
2024,200000,0
2024,297000,0
2024,138000,0
2024,198000,0
2024,140000,0
2023,46848,0
2024,130400,0
2024,74500,0
2024,212000,0
2024,93400,0
2024,142000,0
2024,91300,0
2024,166000,0
2024,73100,0
2024,133000,0
2024,58400,0
2024,204600,0
2024,84500,0
2024,176000,0
2024,72700,0
2024,92000,100
2024,65000,100
2024,231000,100
2024,141000,100
2024,162819,100
2024,95776,100
2024,222200,0
2024,136000,0
2024,138278,0
2024,86424,0
2024,130500,0
2024,96000,0
2024,175000,0
2024,117000,0
2024,122100,0
2024,75500,0
2024,250000,0
2024,200000,0
2024,117000,0
2024,99600,0
2024,162240,0
2024,47840,0
2024,231250,0
2024,111000,0
2024,277000,0
2024,173000,0
2024,128000,0
2024,81500,0
2024,202800,0
2024,115000,0
2024,65000,0
2024,55751,0
2024,165000,100
2024,150000,100
2024,257250,100
2024,99750,100
2024,169767,0
2024,136420,0
2024,100000,0
2024,95000,0
2024,147800,0
2024,93100,0
2024,83300,0
2024,47500,0
2024,160000,0
2024,100000,0
2024,92000,0
2024,90000,0
2024,220000,0
2024,137500,0
2024,175100,0
2024,82915,0
2024,166000,0
2024,73000,0
2024,236400,0
2024,141800,0
2024,150000,0
2024,135000,0
2024,147500,100
2024,70800,100
2024,185000,0
2024,79600,0
2024,99200,100
2024,69400,100
2024,88200,100
2024,61700,100
2024,234000,0
2024,146000,0
2024,165000,0
2024,165000,0
2024,160000,0
2024,130000,0
2024,154800,0
2024,76300,0
2024,112000,0
2024,84000,0
2024,115000,0
2024,90000,0
2024,170000,0
2024,130000,0
2024,185000,0
2024,79600,0
2024,160000,0
2024,110000,0
2024,95000,0
2024,65000,0
2024,180000,100
2024,120000,100
2024,155000,0
2024,100000,0
2024,190500,100
2024,138500,100
2024,159000,0
2024,127000,0
2024,147000,0
2024,118000,0
2024,170000,0
2024,125000,0
2024,116000,0
2024,90000,0
2024,255475,100
2024,185800,100
2024,85000,0
2024,65000,0
2024,150000,0
2024,120000,0
2024,190000,0
2024,190000,0
2024,440000,0
2024,295000,0
2024,170000,100
2024,140000,100
2024,165000,100
2024,140250,100
2024,110300,100
2024,78100,100
2024,210000,0
2024,151800,0
2024,75000,0
2024,65000,0
2024,140000,0
2024,105000,0
2024,200000,0
2024,157144,0
2024,99445,0
2024,274965,0
2024,130008,0
2024,201900,0
2024,97335,0
2024,283800,0
2024,170700,0
2024,152400,100
2024,73700,100
2024,166000,0
2024,73100,0
2024,202600,0
2024,93800,0
2024,273500,0
2024,126600,0
2024,176875,0
2024,84750,0
2024,166000,0
2024,73100,0
2024,88200,100
2024,61700,100
2024,75000,100
2024,60000,100
2024,121500,100
2024,88200,100
2024,133000,0
2024,58300,0
2024,229900,0
2024,201400,0
2024,247250,0
2024,160000,0
2024,177700,0
2024,94700,0
2024,184000,0
2024,123000,0
2024,258600,100
2024,215500,100
2024,237188,100
2024,194063,100
2024,112500,100
2024,59500,100
2024,153900,0
2024,85500,0
2024,210000,0
2024,151800,0
2024,108500,100
2024,78800,100
2024,212000,0
2024,93300,0
2024,209000,0
2024,171000,0
2024,164000,0
2024,109000,0
2024,140000,0
2024,115000,0
2024,83300,0
2024,47500,0
2024,156450,0
2024,119200,0
2024,161500,0
2024,113050,0
2024,130916,0
2024,120000,0
2024,260000,0
2024,198000,0
2024,235000,0
2024,170000,0
2024,185900,0
2024,109400,0
2024,210000,0
2024,180000,0
2024,180000,0
2024,110000,0
2024,185000,100
2024,148000,100
2024,180000,0
2024,110000,0
2024,235680,0
2024,153040,0
2024,145000,0
2024,106500,0
2024,290000,0
2024,240000,0
2024,185000,0
2024,145000,0
2024,150000,100
2024,123000,100
2024,270400,0
2024,145600,0
2024,177000,100
2024,149000,100
2024,115000,0
2024,95000,0
2024,167500,0
2024,106500,0
2024,303050,0
2024,202350,0
2024,184000,0
2024,123000,0
2024,244400,0
2024,131600,0
2024,110000,0
2024,76500,0
2024,134400,0
2024,81200,0
2024,100000,0
2024,75000,0
2024,600000,0
2024,280000,0
2024,130000,0
2024,100000,0
2024,207300,0
2024,149300,0
2024,128000,0
2024,81500,0
2024,144000,0
2024,113000,0
2024,278700,0
2024,159300,0
2024,65000,0
2024,55000,0
2024,165600,0
2024,65800,0
2024,200000,0
2024,85000,0
2024,193412,0
2024,116047,0
2024,359400,100
2024,239600,100
2024,132000,0
2024,108000,0
2024,106050,0
2024,80420,0
2024,240000,0
2024,204000,0
2024,174300,0
2024,140000,0
2024,195000,100
2024,136500,100
2024,180000,0
2024,155000,0
2024,175762,0
2024,97254,0
2024,160000,0
2024,120000,0
2024,120000,100
2024,100000,100
2024,180000,0
2024,150000,0
2024,145125,0
2024,124875,0
2024,290000,100
2024,210000,100
2024,215000,0
2024,152000,0
2024,123900,0
2024,66100,0
2024,182000,100
2024,164000,100
2024,108334,0
2024,59923,0
2024,150000,0
2024,130000,0
2024,160000,0
2024,120000,0
2024,140000,0
2024,70000,0
2024,150800,0
2024,100600,0
2024,276000,0
2024,174000,0
2024,120000,0
2024,94400,0
2024,160000,0
2024,136000,0
2024,215000,0
2024,152000,0
2024,140000,0
2024,110000,0
2024,185000,0
2024,79600,0
2024,215000,100
2024,200000,100
2024,212500,0
2024,163500,0
2024,237650,0
2024,172700,0
2024,148500,100
2024,103275,100
2024,175000,100
2024,145000,100
2024,257400,0
2024,193500,0
2024,17598,50
2024,17600,50
2024,140000,0
2024,90000,0
2024,333500,0
2024,180000,0
2024,285670,100
2024,207760,100
2024,72128,0
2024,50490,0
2024,170800,0
2024,92300,0
2024,249700,100
2024,156300,100
2024,200200,0
2024,111200,0
2024,195200,0
2024,100400,0
2024,153900,0
2024,85500,0
2024,222000,100
2024,132000,100
2024,220000,0
2024,137500,0
2024,83200,100
2024,45900,100
2024,179000,0
2024,112000,0
2024,200000,100
2024,180000,100
2024,54000,0
2024,50000,0
2024,60000,0
2024,40000,0
2023,56000,0
2024,172800,0
2024,144000,0
2024,65000,0
2024,43000,0
2024,230000,100
2024,200000,100
2024,363000,0
2024,139800,0
2024,109000,100
2024,93000,100
2024,35000,0
2024,26000,0
2024,248600,0
2024,149200,0
2024,175000,0
2024,150000,0
2024,179000,0
2024,112000,0
2024,87999,0
2024,66560,0
2024,108500,100
2024,78800,100
2024,90000,0
2024,70000,0
2024,165000,0
2024,150000,0
2024,179000,0
2024,112000,0
2024,131200,100
2024,95300,100
2024,144300,100
2024,104800,100
2024,178250,100
2024,105500,100
2024,248600,0
2024,149200,0
2024,219600,0
2024,125500,0
2024,258500,0
2024,191857,0
2024,41105,0
2024,34940,0
2024,212000,0
2024,93300,0
2024,194000,0
2024,96000,0
2024,250000,100
2024,140000,100
2024,54000,0
2024,45600,0
2024,175100,0
2024,82915,0
2024,162240,0
2024,47840,0
2024,243800,100
2024,123800,100
2024,237600,100
2024,168600,100
2024,155000,100
2024,124000,100
2024,242000,0
2024,215000,0
2024,229369,0
2024,146900,0
2024,170000,0
2024,152000,0
2024,260000,0
2024,136000,0
2024,180000,0
2024,125000,0
2024,147000,0
2024,118000,0
2024,247500,100
2024,172200,100
2024,101000,0
2024,85000,0
2024,154000,0
2024,105000,0
2024,206500,0
2024,121500,0
2024,72500,0
2024,61000,0
2024,80000,0
2024,70000,0
2024,288400,0
2024,144200,0
2024,530000,0
2024,440000,0
2024,171600,0
2024,99500,0
2024,175000,100
2024,150000,100
2024,199700,0
2024,165100,0
2024,774000,0
2024,85900,0
2024,222200,0
2024,136000,0
2024,313000,100
2024,135000,100
2024,153018,0
2024,135000,0
2024,720000,0
2024,170000,0
2024,321000,100
2024,214000,100
2024,95000,0
2024,50750,0
2024,120000,100
2024,111510,100
2024,141375,100
2024,111500,100
2024,30000,0
2024,75000,100
2024,250000,100
2024,125000,100
2024,83300,0
2024,47500,0
2024,154818,0
2024,96761,0
2024,120000,0
2024,90000,0
2024,345400,0
2024,223700,0
2024,96600,0
2024,55200,0
2024,128000,0
2024,81500,0
2024,218185,100
2024,158680,100
2024,135000,0
2024,100000,0
2024,185000,0
2024,79600,0
2024,235700,0
2024,124400,0
2024,222200,0
2024,136000,0
2024,225000,0
2024,150000,0
2024,180000,0
2024,130000,0
2024,286500,0
2024,204000,0
2024,180000,0
2024,139000,0
2024,100000,0
2024,95000,0
2024,60000,100
2024,54000,100
2024,385000,0
2024,310000,0
2024,207000,100
2024,149800,100
2024,300000,100
2024,220000,100
2024,202800,100
2024,115000,100
2024,140400,100
2024,90000,100
2024,175000,100
2024,150000,100
2024,168000,0
2024,158000,0
2024,165000,0
2024,123000,0
2024,92000,100
2024,85000,100
2024,170200,0
2024,83900,0
2024,180000,0
2024,139000,0
2024,130000,100
2024,90000,100
2024,210000,0
2024,190000,0
2024,150000,100
2024,200000,0
2024,115000,0
2024,174500,100
2024,126800,100
2024,114000,0
2024,69000,0
2024,277000,0
2024,173000,0
2024,179000,0
2024,112000,0
2024,130000,100
2024,115000,100
2024,200070,0
2024,107730,0
2024,65000,0
2024,56000,0
2024,240000,0
2024,130000,0
2024,230000,100
2024,165000,100
2024,180000,0
2024,125000,0
2024,165000,0
2024,132000,0
2024,282000,0
2024,188000,0
2024,287500,0
2024,156000,0
2024,175000,100
2024,150000,100
2024,125000,0
2024,89000,0
2024,198000,0
2024,132000,0
2024,158100,0
2024,138500,0
2024,220000,0
2024,150000,0
2024,179700,0
2024,85700,0
2024,220000,0
2024,137500,0
2024,150000,0
2024,120000,0
2024,38400,0
2024,32400,0
2024,144300,100
2024,104800,100
2024,250000,100
2024,215000,100
2024,150000,100
2024,110000,100
2024,110000,100
2024,90000,100
2024,200000,0
2024,140000,0
2024,196350,100
2024,127500,100
2024,219600,0
2024,125500,0
2024,212000,0
2024,93300,0
2024,140900,100
2024,104100,100
2024,193000,0
2024,147645,0
2024,207000,0
2024,150000,0
2024,150000,100
2024,120000,100
2024,180000,0
2024,148000,0
2024,160000,0
2024,120000,0
2024,204500,0
2024,130000,0
2024,207000,0
2024,138000,0
2024,173000,100
2024,138400,100
2024,278700,0
2024,159300,0
2024,215000,0
2024,146900,0
2024,115000,0
2024,100000,0
2024,106260,0
2024,82000,0
2024,220000,0
2024,190000,0
2024,150000,100
2024,110000,100
2024,145000,100
2024,95000,100
2024,92000,0
2024,68000,0
2024,300000,0
2024,150000,0
2024,188000,100
2024,114000,100
2024,135000,0
2024,115000,0
2024,154800,0
2024,76300,0
2024,400000,0
2024,65000,0
2024,187000,100
2024,153000,100
2024,150000,100
2024,128000,100
2024,195000,100
2024,140000,100
2024,150000,0
2024,130000,0
2024,166000,0
2024,73100,0
2024,200000,0
2024,150000,0
2024,220000,0
2024,137500,0
2024,170000,0
2024,130000,0
2024,138000,0
2024,86000,0
2024,105000,100
2024,80000,100
2024,77000,0
2024,60000,0
2024,197500,0
2024,132500,0
2024,90000,0
2024,80000,0
2024,210000,0
2024,151800,0
2024,210000,0
2024,170000,0
2024,175000,100
2024,150000,100
2024,219100,100
2024,118500,100
2024,175000,100
2024,150000,100
2024,81530,0
2024,69300,0
2024,164000,0
2024,117000,0
2024,145000,0
2024,110000,0
2024,125000,0
2024,106000,0
2024,75065,100
2024,41419,100
2024,140000,0
2024,100000,0
2024,80000,0
2024,70000,0
2024,238500,0
2024,183400,0
2024,105000,0
2024,70000,0
2024,225000,100
2024,162000,100
2024,278700,0
2024,159300,0
2024,180000,0
2024,120000,0
2024,170000,0
2024,160000,0
2024,72000,0
2024,51375,0
2024,260000,0
2024,136000,0
2024,75000,0
2024,60000,0
2024,135000,0
2024,113000,0
2024,150000,100
2024,130000,100
2024,267100,0
2024,188500,0
2024,207000,100
2024,149800,100
2024,155000,0
2024,105000,0
2024,270250,0
2024,176000,0
2024,189000,0
2024,145400,0
2024,133903,100
2024,96411,100
2024,170000,0
2024,160000,0
2024,172800,0
2024,132900,0
2024,165000,0
2024,150000,0
2024,145000,100
2024,116000,100
2024,98000,100
2024,88000,100
2024,150000,100
2024,130000,100
2024,174000,100
2024,116000,100
2024,188000,0
2024,144600,0
2024,149500,100
2024,140000,100
2024,100000,100
2024,90000,100
2024,115000,100
2024,85000,100
2024,80000,100
2024,72000,100
2024,85000,0
2024,76500,0
2024,187165,0
2024,150500,0
2024,134500,0
2024,100000,0
2024,274000,100
2024,245000,100
2024,263000,0
2024,207000,0
2024,149076,0
2024,82365,0
2024,90000,100
2024,80000,100
2024,314000,100
2024,201000,100
2024,200400,0
2024,154100,0
2024,165000,0
2024,142500,0
2024,30000,50
2024,310000,0
2024,270000,0
2024,115000,0
2024,80000,0
2024,144900,0
2024,110000,0
2024,84068,0
2024,49452,0
2024,188500,0
2024,165100,0
2024,60000,0
2024,50000,0
2024,132500,0
2024,88000,0
2024,179900,0
2024,142002,0
2024,287500,0
2024,168000,0
2024,220000,0
2024,137500,0
2024,96600,0
2024,55200,0
2024,194500,0
2024,146266,0
2024,194500,0
2024,146266,0
2024,146100,0
2024,111800,0
2024,145580,100
2024,97060,100
2024,108500,100
2024,78800,100
2024,95000,0
2024,76000,0
2024,97000,0
2024,62000,0
2024,234000,0
2024,146000,0
2024,177100,0
2024,130900,0
2024,106050,0
2024,80420,0
2024,277000,0
2024,173000,0
2024,38000,100
2024,166000,0
2024,73100,0
2024,220000,0
2024,137500,0
2024,133000,0
2024,58400,0
2024,80000,0
2024,75000,0
2024,140000,100
2024,125000,100
2024,65000,0
2024,55000,0
2024,105000,0
2024,78000,0
2024,200070,0
2024,107730,0
2024,179000,0
2024,112000,0
2024,166363,0
2024,103977,0
2024,130000,0
2024,95000,0
2024,214300,0
2024,108500,0
2024,266482,0
2024,166551,0
2024,90279,0
2024,67060,0
2024,190000,100
2024,160000,100
2024,212800,0
2024,111600,0
2024,130000,100
2024,110000,100
2024,190100,100
2024,131414,100
2024,284400,0
2024,150700,0
2024,166500,100
2024,135000,100
2024,145000,100
2024,104000,100
2024,165000,100
2024,132000,100
2024,234000,0
2024,117000,0
2024,215500,0
2024,121800,0
2024,165000,100
2024,140250,100
2024,164850,100
2024,112000,100
2024,295000,0
2024,235000,0
2024,150000,0
2024,100000,0
2024,75000,100
2024,55000,100
2024,120000,0
2024,97500,0
2024,220000,100
2024,183000,100
2024,205600,0
2024,105700,0
2024,240500,0
2024,123700,0
2024,179900,100
2024,135920,100
2024,83300,0
2024,47500,0
2024,96600,0
2024,55200,0
2024,86900,0
2024,60800,0
2024,140000,0
2024,90000,0
2024,234000,0
2024,146000,0
2024,120000,0
2024,90000,0
2024,193000,0
2024,119000,0
2024,215000,0
2024,146900,0
2024,166000,100
2024,104000,100
2024,140000,0
2024,70000,0
2024,124000,0
2024,80000,0
2024,133000,0
2024,58400,0
2024,149000,0
2024,65300,0
2024,120000,100
2024,100000,100
2024,182000,0
2024,164000,0
2024,161250,100
2024,132974,100
2024,161250,100
2024,132974,100
2024,90000,0
2024,49500,0
2024,140000,0
2024,115000,0
2024,155000,0
2024,100000,0
2024,440000,0
2024,295000,0
2024,40000,0
2024,25000,0
2024,135000,0
2024,120000,0
2024,155000,0
2024,139000,0
2024,185000,0
2024,140000,0
2024,40000,0
2024,40000,0
2024,720000,0
2024,170000,0
2024,165600,0
2024,65800,0
2024,167000,0
2024,121000,0
2024,208000,0
2024,177000,0
2024,180000,100
2024,119000,100
2024,227000,0
2024,116000,0
2024,130000,0
2024,110000,0
2024,220000,0
2024,176000,0
2024,440000,0
2024,360000,0
2024,180000,100
2024,117000,100
2024,180000,0
2024,140000,0
2024,155000,0
2024,130000,0
2024,215000,0
2024,155000,0
2024,130000,0
2024,120000,0
2024,135000,100
2024,115000,100
2024,448000,100
2024,373000,100
2024,195500,100
2024,141300,100
2024,110000,0
2024,90000,0
2024,70000,100
2024,57000,100
2024,44263,0
2024,31396,0
2024,191027,0
2024,99445,0
2024,130000,0
2024,110000,0
2024,166000,0
2024,73100,0
2024,204200,0
2024,122600,0
2024,110400,0
2024,68000,0
2024,120000,0
2024,100000,0
2024,179000,0
2024,106500,0
2024,115000,100
2024,87550,100
2024,398900,0
2024,239300,0
2024,438000,0
2024,245000,0
2024,190000,100
2024,105301,100
2024,120000,0
2024,90000,0
2024,340000,100
2024,180000,100
2024,324000,0
2024,159000,0
2024,95000,0
2024,65000,0
2024,157900,100
2024,105300,100
2024,120000,0
2024,110000,0
2024,90000,0
2024,70000,0
2024,175000,100
2024,105000,100
2024,166000,0
2024,73100,0
2024,221500,0
2024,153000,0
2024,55000,0
2024,50000,0
2024,345400,0
2024,223700,0
2024,500000,100
2024,180000,100
2024,313000,100
2024,135000,100
2024,77000,100
2024,66000,100
2024,315000,100
2024,250000,100
2024,190000,100
2024,105301,100
2024,309000,0
2024,142000,0
2024,207300,0
2024,165900,0
2024,55000,0
2024,50000,0
2024,115000,0
2024,100000,0
2024,220000,100
2024,206000,100
2024,263000,0
2024,236000,0
2024,203500,100
2024,148000,100
2024,100000,0
2024,90000,0
2024,120000,0
2024,84000,0
2024,79300,0
2024,42700,0
2024,103500,0
2024,72500,0
2024,201000,0
2024,103300,0
2024,196350,100
2024,127500,100
2024,143706,100
2024,84533,100
2024,172100,0
2024,97400,0
2024,159000,0
2024,106000,0
2024,104922,0
2024,72360,0
2024,106000,0
2024,66000,0
2024,255000,0
2024,199000,0
2024,167500,0
2024,106500,0
2024,150000,100
2024,104000,100
2024,166000,0
2024,73100,0
2024,230000,0
2024,150000,0
2024,155000,0
2024,130500,0
2024,190000,0
2024,158500,0
2024,260000,0
2024,136000,0
2024,230000,0
2024,170000,0
2024,150000,0
2024,90800,0
2024,125000,100
2024,100000,100
2024,222200,0
2024,136000,0
2024,120000,0
2024,100000,0
2024,175000,0
2024,117000,0
2024,215000,0
2024,146900,0
2024,225000,0
2024,166000,0
2024,150000,100
2024,135000,100
2024,104500,0
2024,76000,0
2024,105000,0
2024,70000,0
2024,165000,100
2024,115500,100
2024,220000,0
2024,160000,0
2024,166000,0
2024,73100,0
2024,484000,100
2024,164000,100
